row_id,n_aspects,n_supported,n_matched,support_rate,match_rate,row_score
70,4,2,2,0.5,0.5,0.5
71,3,1,1,0.3333,0.3333,0.3333
72,3,0,0,0.0,0.0,0.0
73,2,1,0,0.5,0.0,0.0
74,4,3,2,0.75,0.5,0.5
75,3,2,2,0.6667,0.6667,0.6667
76,3,2,2,0.6667,0.6667,0.6667
77,2,1,0,0.5,0.0,0.0
78,2,1,1,0.5,0.5,0.5
79,4,3,1,0.75,0.25,0.25
80,3,2,2,0.6667,0.6667,0.6667
81,4,3,0,0.75,0.0,0.0
82,3,1,1,0.3333,0.3333,0.3333
83,3,2,1,0.6667,0.3333,0.3333
84,2,1,1,0.5,0.5,0.5
85,3,1,0,0.3333,0.0,0.0
86,3,2,2,0.6667,0.6667,0.6667
87,3,2,2,0.6667,0.6667,0.6667
88,3,2,1,0.6667,0.3333,0.3333
89,3,2,1,0.6667,0.3333,0.3333
90,2,1,1,0.5,0.5,0.5
91,3,2,2,0.6667,0.6667,0.6667
92,4,3,2,0.75,0.5,0.5
93,3,2,1,0.6667,0.3333,0.3333
94,3,2,2,0.6667,0.6667,0.6667
95,3,2,2,0.6667,0.6667,0.6667
96,3,1,0,0.3333,0.0,0.0
97,3,2,0,0.6667,0.0,0.0
98,3,1,1,0.3333,0.3333,0.3333
99,2,1,1,0.5,0.5,0.5
100,2,0,0,0.0,0.0,0.0
101,3,1,0,0.3333,0.0,0.0
102,2,0,0,0.0,0.0,0.0
103,3,1,1,0.3333,0.3333,0.3333
104,2,1,0,0.5,0.0,0.0
105,3,2,1,0.6667,0.3333,0.3333
106,3,2,2,0.6667,0.6667,0.6667
107,2,1,1,0.5,0.5,0.5
108,2,1,1,0.5,0.5,0.5
109,2,1,1,0.5,0.5,0.5
110,4,3,3,0.75,0.75,0.75
111,4,3,2,0.75,0.5,0.5
112,3,1,1,0.3333,0.3333,0.3333
113,2,1,1,0.5,0.5,0.5
114,4,1,1,0.25,0.25,0.25
115,3,2,0,0.6667,0.0,0.0
116,4,3,0,0.75,0.0,0.0
117,4,3,2,0.75,0.5,0.5
118,4,3,2,0.75,0.5,0.5
119,2,1,1,0.5,0.5,0.5
120,2,1,0,0.5,0.0,0.0
121,3,1,0,0.3333,0.0,0.0
122,3,2,1,0.6667,0.3333,0.3333
123,2,1,1,0.5,0.5,0.5
124,2,0,0,0.0,0.0,0.0
125,4,3,3,0.75,0.75,0.75
126,4,2,2,0.5,0.5,0.5
127,2,0,0,0.0,0.0,0.0
128,3,2,0,0.6667,0.0,0.0
129,3,2,0,0.6667,0.0,0.0
130,3,2,2,0.6667,0.6667,0.6667
131,2,0,0,0.0,0.0,0.0
132,4,2,2,0.5,0.5,0.5
133,4,3,2,0.75,0.5,0.5
134,2,1,1,0.5,0.5,0.5
135,3,1,0,0.3333,0.0,0.0
136,3,2,1,0.6667,0.3333,0.3333
137,4,3,2,0.75,0.5,0.5
138,4,3,3,0.75,0.75,0.75
139,3,1,0,0.3333,0.0,0.0
140,2,1,0,0.5,0.0,0.0
141,2,1,1,0.5,0.5,0.5
142,4,3,1,0.75,0.25,0.25
143,2,1,0,0.5,0.0,0.0
144,3,2,2,0.6667,0.6667,0.6667
145,2,1,1,0.5,0.5,0.5
146,3,1,0,0.3333,0.0,0.0
147,4,2,2,0.5,0.5,0.5
148,2,1,1,0.5,0.5,0.5
149,3,2,1,0.6667,0.3333,0.3333
150,3,2,1,0.6667,0.3333,0.3333
151,2,1,0,0.5,0.0,0.0
152,2,1,1,0.5,0.5,0.5
153,3,1,1,0.3333,0.3333,0.3333
154,3,2,2,0.6667,0.6667,0.6667
155,2,1,1,0.5,0.5,0.5
156,2,1,1,0.5,0.5,0.5
157,4,3,2,0.75,0.5,0.5
158,3,2,2,0.6667,0.6667,0.6667
159,2,1,1,0.5,0.5,0.5
160,4,3,2,0.75,0.5,0.5
161,3,1,1,0.3333,0.3333,0.3333
162,4,3,2,0.75,0.5,0.5
163,3,0,0,0.0,0.0,0.0
164,4,2,0,0.5,0.0,0.0
165,3,2,1,0.6667,0.3333,0.3333
166,3,2,1,0.6667,0.3333,0.3333
167,2,0,0,0.0,0.0,0.0
168,3,1,0,0.3333,0.0,0.0
169,2,1,1,0.5,0.5,0.5
170,4,1,0,0.25,0.0,0.0
171,3,2,1,0.6667,0.3333,0.3333
172,3,2,0,0.6667,0.0,0.0
173,3,0,0,0.0,0.0,0.0
174,4,2,1,0.5,0.25,0.25
175,2,1,1,0.5,0.5,0.5
176,2,1,1,0.5,0.5,0.5
177,2,1,0,0.5,0.0,0.0
178,2,1,1,0.5,0.5,0.5
179,3,2,1,0.6667,0.3333,0.3333
180,4,3,2,0.75,0.5,0.5
181,3,2,1,0.6667,0.3333,0.3333
182,2,1,0,0.5,0.0,0.0
183,4,1,1,0.25,0.25,0.25
184,4,2,2,0.5,0.5,0.5
185,4,3,2,0.75,0.5,0.5
186,4,3,2,0.75,0.5,0.5
187,3,1,1,0.3333,0.3333,0.3333
188,3,2,1,0.6667,0.3333,0.3333
189,2,1,1,0.5,0.5,0.5
190,3,2,2,0.6667,0.6667,0.6667
191,4,2,2,0.5,0.5,0.5
192,3,2,2,0.6667,0.6667,0.6667
193,3,2,2,0.6667,0.6667,0.6667
194,3,1,1,0.3333,0.3333,0.3333
195,4,3,1,0.75,0.25,0.25
196,2,1,1,0.5,0.5,0.5
197,2,1,0,0.5,0.0,0.0
198,2,1,1,0.5,0.5,0.5
199,4,3,3,0.75,0.75,0.75
200,4,1,0,0.25,0.0,0.0
201,4,3,3,0.75,0.75,0.75
202,3,2,1,0.6667,0.3333,0.3333
203,4,3,3,0.75,0.75,0.75
204,4,2,1,0.5,0.25,0.25
205,3,2,1,0.6667,0.3333,0.3333
206,2,0,0,0.0,0.0,0.0
207,4,3,3,0.75,0.75,0.75
208,3,1,0,0.3333,0.0,0.0
209,2,1,1,0.5,0.5,0.5
210,2,0,0,0.0,0.0,0.0
211,2,1,1,0.5,0.5,0.5
212,3,2,1,0.6667,0.3333,0.3333
213,4,2,2,0.5,0.5,0.5
214,3,2,2,0.6667,0.6667,0.6667
215,2,1,0,0.5,0.0,0.0
216,2,1,1,0.5,0.5,0.5
217,3,2,0,0.6667,0.0,0.0
218,3,2,1,0.6667,0.3333,0.3333
219,2,0,0,0.0,0.0,0.0
220,3,2,1,0.6667,0.3333,0.3333
221,3,1,1,0.3333,0.3333,0.3333
222,4,2,2,0.5,0.5,0.5
223,4,3,1,0.75,0.25,0.25
224,2,0,0,0.0,0.0,0.0
225,2,1,1,0.5,0.5,0.5
226,4,2,0,0.5,0.0,0.0
227,3,2,2,0.6667,0.6667,0.6667
228,4,1,1,0.25,0.25,0.25
229,3,2,2,0.6667,0.6667,0.6667
230,2,1,1,0.5,0.5,0.5
231,2,1,1,0.5,0.5,0.5
232,4,3,2,0.75,0.5,0.5
233,4,3,3,0.75,0.75,0.75
234,4,3,1,0.75,0.25,0.25
235,4,3,3,0.75,0.75,0.75
236,4,1,1,0.25,0.25,0.25
237,4,3,0,0.75,0.0,0.0
238,4,3,1,0.75,0.25,0.25
239,2,1,1,0.5,0.5,0.5
240,3,0,0,0.0,0.0,0.0
241,2,1,0,0.5,0.0,0.0
242,2,1,1,0.5,0.5,0.5
243,4,2,2,0.5,0.5,0.5
244,2,1,1,0.5,0.5,0.5
245,3,2,2,0.6667,0.6667,0.6667
246,3,2,1,0.6667,0.3333,0.3333
247,2,1,0,0.5,0.0,0.0
248,3,2,1,0.6667,0.3333,0.3333
249,4,3,1,0.75,0.25,0.25
