item_id,review_text,discussed_clarity,polarity_clarity,discussed_lecturer_quality,polarity_lecturer_quality,discussed_materials,polarity_materials,discussed_feedback_quality,polarity_feedback_quality,discussed_exam_fairness,polarity_exam_fairness,discussed_assessment_design,polarity_assessment_design,discussed_grading_transparency,polarity_grading_transparency,discussed_organization,polarity_organization,discussed_tooling_usability,polarity_tooling_usability,discussed_difficulty,polarity_difficulty,discussed_workload,polarity_workload,discussed_pacing,polarity_pacing,discussed_prerequisite_fit,polarity_prerequisite_fit,discussed_support,polarity_support,discussed_accessibility,polarity_accessibility,discussed_peer_interaction,polarity_peer_interaction,discussed_relevance,polarity_relevance,discussed_interest,polarity_interest,discussed_practical_application,polarity_practical_application,discussed_overall_experience,polarity_overall_experience,notes
H039,It's very good and motivate for us. We want more from you...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H041,"He is an excellent lecturer, I have ever seen.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H049,"If you do the reading, you will do fine on his quiz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H024,The in class and homework let me evaluate myself and gain better understanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H005,We can interact with TA individually. So we can clear our problems when we are coding. That is good. Tutorial class is also very good.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H007,"ofessor Goodman has not changed since these reviews started in 2003. Obnoxious amount of work. Taking this class online in conjunction with another class, with a fulltime job and a family is not recommended.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H037,It's good we could have more learning on GUI building.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H030,e is clearly one of the worse professors I have ever had. She doesn\'t understand the topic and therefore can\'t explain or answer simple questions. We hardly used the book and the test were nothing like the study guide or anything we did in class.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H012,Loved the guy. Interesting despite the topic and always cracks jokes. Easy grader and throws a huge curve at the end of the semester.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H013,"ofessor Babula is darling. Just because he is such an adorable little man, don\'t be fooled. He knows his Shakespeare and you will too after you take his course. Very sharp, funny, seems a little shy, fair grader, makes Shakespeare come alive. I can\'t imagine anyone not liking him or his class.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H021,I understood OOP concepts very well. lectures were so good. I struggle a lot with my game because I am new to java. i know you have no time to teach us java but it will be great if you can give some more advises related to the semester project in next lectures. thank you,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H018,Betty keeps it real. dig the berets she dons. pay attention and show interest. old school teacher that lets you use notes for exams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H003,Each day practical submission helps a lot. The TAs helps a lot in the lab. Learning with examples make easy to understand.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H019,"e was very sweet and would help you if you needed it, but her tests were very hard almost all sentence translation! so if you arnt good at that then dont take this class!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H017,She knows what she is talking about. She is very clear. This is exactly how a history class is supposed to be. Her tests are very easy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H008,workload of this module is high and there is a lot to self study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H035,He\'s ok - projects thats all only 3 tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H045,Oracle is hard enough - Instructor was not helpful at all. The book wasn\'t great either. I learned by working together with other students.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H009,The lecture series was good and well taught. Better if the work load(Syllabus) was less. It was very hard to manage such a work load with other subjects.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H020,"Tests are hard, but he helps you get prepared for them. I feel like I\'m learning. slowly. But I\'m learning. Thanks Prof. Bowman.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H031,it was very use full for me. it would be better if he teach us another day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H028,It is better if the presentation slides are provided before the lecture. Then we can study it before coming to the lecture.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H043,"Study the study guides, they are the test and the ticket to an A. Hard to understand because of his accent, but the class wasn\'t that tough.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H047,"no was the leader of my fig and he made it quite interesting. While the lectures seemed long sometimes, he was able to mix music such as Miles Davis with philosophy and make it totally mindboggling. Unno KNOWS how to give a good thoughtout speech.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H038,Show up to class and take notes and you will have no problem passing this class.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H040,Lectures were good! but it's better if the presentation slides were more descriptive.Some codes discussed in the lectures were some kind of difficult to understand since the time it was given was not enough.(since most of us are still learning to code in java). ------- Kindly request madam to conduct a tutorial class weekly hoping it would be very significant to those who are week in Oop concepts. Thank you.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H016,The majority of the exam had content on it that was not covered very well. I hope you understand math and word problems if you take him.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
