index,href,text
14,https://aclanthology.org/2021.acl-long.188/,"Hang Yan, Junqi Dai, Tuo Ji, Xipeng Qiu, and Zheng Zhang. 2021. A Unified Generative Framework for Aspect-Based Sentiment Analysis . Proceedings of ACL-IJCNLP 2021, pages 2416-2429."
15,https://aclanthology.org/2021.emnlp-main.361/,"Jian Liu, Zhiyang Teng, Leyang Cui, Hanmeng Liu, and Yue Zhang. 2021. Solving Aspect Category Sentiment Analysis as a Text Generation Task . Proceedings of EMNLP 2021, pages 4406-4416."
16,https://doi.org/10.1016/j.stueduc.2022.101177,"Maria Misuraca, Matteo Giampà, and Daniela Cacciaguerra. 2022. Using Opinion Mining as an educational analytic: An integrated strategy for the analysis of students’ feedback . Studies in Educational Evaluation , 75, 101177."
17,https://www.sciencedirect.com/science/article/pii/S2949719123000122,"Thanveer Shaik, Xiaohui Tao, Christopher Dann, Petrea Redmond, and Linda Galligan. 2023. Sentiment analysis and opinion mining on educational data: A survey . Natural Language Processing Journal , 3, 100012."
18,https://doi.org/10.1016/j.stueduc.2024.101406,"Charalampos Dervenis, Giannis Kanakis, and Panos Fitsilis. 2024. Sentiment analysis of student feedback: A comparative study employing lexicon and machine learning techniques . Studies in Educational Evaluation , 83, 101406."
19,https://aclanthology.org/2024.lrec-main.912/,"Clifton M. Edwards and Jose Camacho-Collados. 2024. Language Models for Text Classification: Is In-Context Learning Enough? . Proceedings of LREC-COLING 2024, pages 10448-10461."
20,https://doi.org/10.3102/003465430298487,"John Hattie and Helen Timperley. 2007. The Power of Feedback . Review of Educational Research , 77(1), 81-112."
21,https://doi.org/10.1080/02602938.2018.1463354,"David Carless and David Boud. 2018. The development of student feedback literacy: enabling uptake of feedback . Assessment & Evaluation in Higher Education , 43(8), 1315-1325."
22,https://doi.org/10.1080/07294360.2019.1657807,"Michael Henderson, Rola Ajjawi, David Boud, Elizabeth Molloy, and Hannah Sutton. 2019. Conditions that enable effective feedback . Higher Education Research & Development , 38(7), 1401-1416."
23,https://doi.org/10.1186/s41039-018-0073-0,"Swapna Gottipati, Venky Shankararaman, and Jeff Rongsheng Lin. 2018. Text analytics approach to extract course improvement suggestions from students’ feedback . Research and Practice in Technology Enhanced Learning , 13, 6."
24,https://doi.org/10.1016/j.compedu.2020.103965,"Maija Hujala, Antti Knutas, Timo Hynninen, and Heli Arminen. 2020. Improving the quality of teaching by utilising written student feedback: A streamlined process . Computers & Education , 157, 103965."
25,https://aclanthology.org/2021.findings-acl.84/,"Steven Y. Feng, Varun Gangal, Jason Wei, Sarath Chandar, Soroush Vosoughi, Teruko Mitamura, and Eduard Hovy. 2021. A Survey of Data Augmentation Approaches for NLP . Findings of ACL 2021, pages 968-988."
26,https://proceedings.neurips.cc/paper_files/paper/2022/hash/0346c148ba1c21c6b4780a961ea141dc-Abstract-Conference.html,"Yu Meng, Jiaxin Huang, Yu Zhang, and Jiawei Han. 2022. Generating Training Data with Language Models: Towards Zero-Shot Language Understanding . Advances in Neural Information Processing Systems 35."
27,https://aclanthology.org/2023.acl-long.754/,"Yizhong Wang, Yeganeh Kordi, Swaroop Mishra, Alisa Liu, Noah A. Smith, Daniel Khashabi, and Hannaneh Hajishirzi. 2023. Self-Instruct: Aligning Language Models with Self-Generated Instructions . Proceedings of ACL 2023, pages 13484-13508."
28,https://aclanthology.org/2023.wassa-1.3/,"Siddharth Varia, Shuai Wang, Kishaloy Halder, Robert Vacareanu, Miguel Ballesteros, Yassine Benajiba, Neha Anna John, Rishita Anubhai, Smaranda Muresan, and Dan Roth. 2023. Instruction Tuning for Few-Shot Aspect-Based Sentiment Analysis . Proceedings of WASSA 2023, pages 28-37."
29,https://aclanthology.org/2024.eacl-long.167/,"Robert Vacareanu, Siddharth Varia, Kishaloy Halder, Shuai Wang, Giovanni Paolini, Neha Anna John, Miguel Ballesteros, and Smaranda Muresan. 2024. A Weak Supervision Approach for Few-Shot Aspect Based Sentiment Analysis . Proceedings of EACL 2024, pages 2381-2395."
30,https://aclanthology.org/2024.findings-naacl.246/,"Wenxuan Zhang, Yue Deng, Bing Liu, Sinno Jialin Pan, and Lidong Bing. 2024. Sentiment Analysis in the Era of Large Language Models: A Reality Check . Findings of NAACL 2024, pages 3892-3910."
